chat| mammifère domestique | cat 
éléphant| mammifère herbivore | elephant 

histoire| récit d'événements passés | story 

naissance| action de venir au monde | birth 

ombre| zone où la lumière ne parvient pas | shadow 

route| voie de communication terrestre | road 

feuille| organe plat et vert des plantes | leaf 

glace| mélange de glace et d'eau | ice 

homme| être humain de sexe masculin | man 

île| portion de terre entourée d'eau | island 

joli| agréable à regarder | pretty 

malade| qui est atteint d'une maladie | sick 

neuf| nombre qui suit huit et précède dix | nine 

rivière| cours d'eau naturel | river 

théâtre| lieu où l'on donne des spectacles | theater 

doigt| membre terminal du membre supérieur | finger 

patate| plante herbacée dont on mange le tubercule | potato 

sein| glande mammaire de la femme | breast 

abeille| insecte qui produit du miel | bee 

besoin| manque de quelque chose | need 

jardinier| personne qui s'occupe d'un jardin | gardener 

aveugle| qui ne voit pas | blind 

dame| femme mariée | lady 

dernier| qui vient après tous les autres | last 

jambe| membre inférieur du corps humain | leg 

langage| système de communication | language 

or| métal précieux de couleur jaune | gold 

yeux| organe de la vue | eyes 

blanc| couleur blanche | white 

loin| à une grande distance | far 

lac| étendue d'eau douce | lake 

loin| à une grande distance | far 

rire| expression sonore de la joie | laugh 

grand-père| père du père ou de la mère | grandfather 

intelligence| capacité à comprendre | intelligence 

mère| femme par rapport à ses enfants | mother 

œil| organe de la vue | eye 

ordinateur| machine capable de traiter des informations | computer 

parole| faculté de parler | speech 

repas| ensemble de plats que l'on mange à un moment donné | meal 

futur| temps qui va venir | future 

heureux| qui ressent du bonheur | happy 

kilomètre| unité de longueur | kilometer 

lune| satellite naturel de la Terre | moon 

lundi| premier jour de la semaine | monday 

oreille| organe de l'ouïe | ear 

valise| sac rigide dans lequel on met ses affaires pour voyager | suitcase 

wagon| véhicule ferroviaire servant au transport | wagon 

beurre| produit laitier obtenu par barattage | butter 

garçon| enfant de sexe masculin | boy 

gris| couleur entre le blanc et le noir | gray 

parrain| personne qui se porte garante d'un autre | godfather 

salon| pièce principale d'une habitation | living room 

université| établissement d'enseignement supérieur | university 

cahier| livre de format réduit | notebook 

fleur| organe reproducteur des plantes à fleurs | flower 

hiver| saison la plus froide de l'année | winter 

oiseau| animal ver
|(null)
oiseau| animal vertébré à plumes et capable de voler | bird 

rapport| lien entre deux ou plusieurs choses | relationship 

secret| chose cachée | secret 

train| véhicule ferroviaire composé de plusieurs wagons | train 

beau| joli | beautiful 

ciel| atmosphère qui entoure la Terre | sky 

maison| bâtiment servant à l'habitation | house 

numéro| chiffre | number 

bien| bon | good 

car| véhicule à quatre roues | car 

imagination| faculté de se représenter des choses qui ne sont pas présentes | imagination 

téléphone| appareil permettant de communiquer à distance | telephone 

cas| situation | case 

devoir| obligation | duty 

kangourou| marsupial herbivore d'Australie | kangaroo 

montagne| grande élévation de terrain | mountain 

rage| sentiment violent et incontrôlable | rage 

sac| contenant souple permettant de transporter des objets | bag 

